Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth
A,1.262,0.07526476314052566,0.10852286292979785,6.4940786,0.02016101623758789,0.018225367595163747,41354203136,0.19881001,0.1006225030196042
AA,2.197,-0.13063304092207229,-0.10913262049458428,1.7860723,0.031959945679915835,0.03264329036492439,9230310400,0.17149,-0.006428823737195337
AACG,0.974,0.27272725083392313,-0.28409091063028524,0.7135487,0.07644796222171248,0.05896507936280769,39969404,-0.37508,0.017793329284276734
AAME,0.74,0.8099863034125254,0.09758241082511732,0.5824683,0.04198304802130121,0.03648502544720501,61803600,0.02448,0.031901695670989993
AAMI,1.395,0.8040473477860417,1.5750252992306266,183.54085,0.02422819099973447,0.021181395360864278,1689247872,3.0102801,0.15014720314033367
AAOI,2.913,0.6193949222484951,9.480769748582597,4.3650794,0.0857109660768562,0.07824069722645621,1869056640,-0.50932,0.4055798512793369
AAON,1.047,-0.10664280610676669,1.4111596495367094,9.562493,0.038576653870252865,0.028965252634329218,7965546496,0.15521,0.24834189472253027
AAP,1.108,0.4003489614507749,-0.6676061468761907,1.528175,0.050004418040391005,0.03803020650438597,3365755392,-0.24781,-0.12041200274414349
AAPL,1.094,0.09799075712884853,0.7233144025394442,58.32769,0.020589337711748142,0.01736717080149641,3835498856448,1.49814,0.035160515396374756
AAT,1.247,-0.22349501891323065,-0.12969677659266687,1.0385787,0.017248885479852462,0.01859334777670851,1555188352,0.08259,0.09672189423258298
AB,0.813,0.13556590622595,0.4212544471182247,2.195013,0.017852902379271403,0.016846360597050216,4349642240,0.18537001,-0.020653272620503094
ABAT,1.578,4.881188230997862,-0.511111091052117,8.193103,0.09730191798267813,0.07332148971242518,701198528,-0.70817,0.08732085579204422
ABBV,0.507,0.2687678398058664,0.7036335109934744,-2198.846,0.018181913827656597,0.014419667934303626,403976519680,1.1285399,0.003340484444477437
ABCB,0.952,0.1856698305185449,0.49690390865124057,1.2767073,0.02064432263292361,0.021531807906060962,5012326912,0.10458,0.04199189174573145
ABCL,0.69,0.974729179731632,-0.4902143500882571,1.606461,0.04884526375427676,0.03961762774216556,1634616064,-0.15642999,-0.0857076233087426
ABEO,1.417,-0.17404584887422025,0.29425838985317854,1.6948621,0.03468662273940972,0.04624144124554731,277416896,0.48343,0.7019936876972594
ABEV,0.342,0.04382177041137969,-0.04224773353690714,0.37093237,0.01761901250573361,0.016917060743748276,35424829440,0.16048999,0.2251434852458794
ABG,0.853,0.08196723922015026,0.6141421808378902,1.2951617,0.023298186825889584,0.023855671692913083,4891960320,0.15195,0.017481347323660846
ABL,-0.015,-0.41194966918797227,-0.4428996719436016,1.2364999,0.03445490818649312,0.036182372368435946,538118400,-0.00379,1.6344065127348781
ABLV,1.507,0.0,-0.9069069040580705,4.7448983,0.11038151339747283,0.07699398010076153,45932628,-1.20857,-0.13252810062598014
