Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth,Beta_Rank,Value_PBR_Rank,Volatility_1Y_Rank,Volatility_3Y_Rank,Size_MarketCap_Rank,Investment_AssetGrowth_Rank,Momentum_1Y_Rank,Momentum_3Y_Rank,Profitability_ROE_Rank,Composite_Rank_Score
GF,0.958,0.3063511246599337,0.6334722912604145,0.84140706,0.0134241815764198,0.0116923623230284,182669712,0.30961,-0.130756999455347,2167.0,939.0,341.0,240.0,1095.0,669.0,1069.0,1374.0,304.0,8198.0
FMY,0.256,0.0769666433492786,0.3828539291206938,0.9574969,0.0064029907395259,0.0084982931046253,51442136,0.104890004,-0.1006623386817211,363.0,1212.0,37.0,103.0,555.0,802.0,1971.0,1844.0,1442.5,8329.5
GGN,0.347,0.2999350271456185,1.0473236520078189,1.1625333,0.0115551127337567,0.0100517204520998,819307520,0.18195999,-0.0348557209598432,509.5,1687.0,224.0,159.0,2101.0,1351.0,1082.0,878.0,709.0,8700.5
GLU,0.781,0.1868745831590925,0.6989431505535295,1.050248,0.0121612647870015,0.0122515018125208,108948352,0.19327,-0.0716362313502027,1587.5,1473.0,258.0,279.0,842.0,1009.0,1419.0,1260.0,650.0,8777.5
BCH,0.14,0.4142214248231621,1.2909298102923366,0.5732269,0.0148324411567774,0.0146534991451882,16283954176,0.21957001,-0.0657327309838477,252.5,594.0,477.0,500.0,3876.0,1059.0,871.0,715.0,542.0,8886.5
EEA,1.036,0.2224911749657978,0.8046707797402626,0.9036595,0.0100678137817357,0.0099306367810967,73243136,0.12899,-0.0549258552625425,2409.0,1050.0,153.0,154.0,683.0,1146.0,1301.0,1132.0,1128.0,9156.0
BANX,0.262,0.2014865980012923,0.7756578282565512,0.9630096,0.0115533487498038,0.0133718044771512,152557856,0.12538,0.0221798509149971,369.0,1231.0,222.0,361.0,1004.0,2274.0,1369.0,1167.0,1162.0,9159.0
MXE,0.793,0.2894303454452207,0.6210934020585821,0.8695981,0.0118176555782748,0.0126410196256015,50558400,0.03264,-0.1467014927049962,1616.5,996.0,240.0,304.0,545.0,608.0,1113.0,1396.0,2425.0,9243.5
PGP,1.119,0.1505042469953488,0.8574260396955729,1.0456392,0.0106931777686381,0.0110321933786415,98200496,0.19634001,-0.0890172225259704,2669.5,1464.0,174.0,205.0,805.0,873.0,1595.0,1066.0,637.0,9488.5
TSI,0.292,0.0491621535805351,0.3642835638806638,0.95802563,0.0052777508430188,0.0058340328702235,235582208,0.09187,-0.061879598383948,427.5,1214.0,13.0,8.0,1244.0,1084.0,2128.0,1886.0,1650.0,9654.5
TEI,0.658,0.1905220592998113,0.9673964518925376,0.9815951,0.0100388742533285,0.012017724332669,294705312,0.18368,0.027584998930042,1224.0,1304.0,152.0,263.0,1386.0,2373.0,1407.0,962.0,697.0,9768.0
PPT,0.289,0.0991846834114322,0.3578305777800861,0.97087944,0.0067045014273109,0.0072642501734718,352395744,0.06837,-0.1200337895764678,422.0,1261.0,51.0,61.0,1503.0,722.0,1847.0,1901.0,2021.0,9789.0
IGA,0.531,0.158196196219555,0.6169516076248709,0.9514693,0.010549781853984,0.0086583873053853,152493424,0.14681,0.0451371215222196,895.5,1184.0,170.0,110.0,1003.0,2644.0,1556.0,1406.0,960.5,9929.0
EMD,0.818,0.1482425827806743,0.8528711349288292,0.9700935,0.008222155936867,0.0093219970496627,603393984,0.13061,-0.0618664545818565,1698.0,1259.0,108.0,139.0,1876.0,1085.0,1607.0,1072.0,1112.0,9956.0
FINS,0.237,0.1075934136543468,0.3912118534141242,0.94914275,0.0059058468068509,0.0058869990570137,438429088,0.112440005,-0.0024217586029455,338.5,1174.0,26.0,9.0,1654.0,1844.0,1808.0,1827.0,1340.0,10020.5
EIM,0.533,-0.0035614345057386,0.2043634563311069,0.8595442,0.0067549269161963,0.0067825937243942,509616192,0.14303,-0.1342801595465133,903.5,972.0,54.0,38.0,1757.0,652.0,2433.0,2277.0,991.5,10078.0
LSBK,0.349,0.3672303821661844,0.4363503013046048,0.7791891,0.0191816595412629,0.0190954630006352,99853392,0.06424,-0.0546311083161637,513.0,840.0,1015.0,1081.0,813.0,1150.0,944.0,1734.0,2075.0,10165.0
JHS,0.509,0.0823983630829208,0.329683934512047,0.9848862,0.0055342655123457,0.0059454252826736,138128496,0.14074,0.0133365922600453,849.0,1315.0,16.0,12.0,956.0,2119.0,1932.0,1964.0,1012.0,10175.0
JOYY,0.275,0.6997898883737288,1.3649764330211736,0.4457868,0.0253077895795701,0.0273865554123399,2933850112,0.27582002,-0.1126925051259066,399.5,479.0,1846.0,2149.0,2958.0,751.0,543.0,681.0,376.0,10182.5
MSD,0.559,0.0217232436213965,0.6891841305787068,0.9716114,0.0094173966040623,0.008814784935976,147415408,0.10633001,-0.0077984177848988,967.0,1264.0,139.0,118.0,982.0,1749.0,2269.0,1280.0,1427.0,10195.0
