Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth,Beta_Rank,Value_PBR_Rank,Volatility_3Y_Rank,Size_MarketCap_Rank,Investment_AssetGrowth_Rank,Momentum_3Y_Rank,Profitability_ROE_Rank,Composite_Rank_Score
FMY,0.256,0.0769666433492786,0.3828539291206938,0.9574969,0.0064029907395259,0.0084982931046253,51442136,0.104890004,-0.1006623386817211,363.0,1212.0,103.0,555.0,802.0,1844.0,1442.5,6321.5
GF,0.958,0.3063511246599337,0.6334722912604145,0.84140706,0.0134241815764198,0.0116923623230284,182669712,0.30961,-0.130756999455347,2167.0,939.0,240.0,1095.0,669.0,1374.0,304.0,6788.0
GLU,0.781,0.1868745831590925,0.6989431505535295,1.050248,0.0121612647870015,0.0122515018125208,108948352,0.19327,-0.0716362313502027,1587.5,1473.0,279.0,842.0,1009.0,1260.0,650.0,7100.5
IRS,0.28,0.0289709674216462,2.8093872522250645,0.0057465355,0.0303932042744518,0.0313229109738914,991575424,0.11963,-0.1520828156222235,409.0,135.0,2516.0,2225.0,589.0,282.0,1227.0,7383.0
GGN,0.347,0.2999350271456185,1.0473236520078189,1.1625333,0.0115551127337567,0.0100517204520998,819307520,0.18195999,-0.0348557209598432,509.5,1687.0,159.0,2101.0,1351.0,878.0,709.0,7394.5
TSI,0.292,0.0491621535805351,0.3642835638806638,0.95802563,0.0052777508430188,0.0058340328702235,235582208,0.09187,-0.061879598383948,427.5,1214.0,8.0,1244.0,1084.0,1886.0,1650.0,7513.5
BCH,0.14,0.4142214248231621,1.2909298102923366,0.5732269,0.0148324411567774,0.0146534991451882,16283954176,0.21957001,-0.0657327309838477,252.5,594.0,500.0,3876.0,1059.0,715.0,542.0,7538.5
BANX,0.262,0.2014865980012923,0.7756578282565512,0.9630096,0.0115533487498038,0.0133718044771512,152557856,0.12538,0.0221798509149971,369.0,1231.0,361.0,1004.0,2274.0,1167.0,1162.0,7568.0
EIM,0.533,-0.0035614345057386,0.2043634563311069,0.8595442,0.0067549269161963,0.0067825937243942,509616192,0.14303,-0.1342801595465133,903.5,972.0,38.0,1757.0,652.0,2277.0,991.5,7591.0
USAC,0.354,0.0928962699526176,0.6632683476605448,-23.232323,0.0200859723777963,0.0175585745796799,2821730816,3.1474,0.0032304622984843,524.5,21.0,856.0,2932.0,1932.0,1329.0,18.0,7612.5
EEA,1.036,0.2224911749657978,0.8046707797402626,0.9036595,0.0100678137817357,0.0099306367810967,73243136,0.12899,-0.0549258552625425,2409.0,1050.0,154.0,683.0,1146.0,1132.0,1128.0,7702.0
PGP,1.119,0.1505042469953488,0.8574260396955729,1.0456392,0.0106931777686381,0.0110321933786415,98200496,0.19634001,-0.0890172225259704,2669.5,1464.0,205.0,805.0,873.0,1066.0,637.0,7719.5
LOAN,0.369,0.0564428392675953,0.2446214873439454,1.3905716,0.015015258381167,0.0147763026776135,60396080,0.12682,-0.1112781930491791,557.0,1973.0,508.0,615.0,758.0,2185.0,1145.5,7741.5
MSD,0.559,0.0217232436213965,0.6891841305787068,0.9716114,0.0094173966040623,0.008814784935976,147415408,0.10633001,-0.0077984177848988,967.0,1264.0,118.0,982.0,1749.0,1280.0,1427.0,7787.0
JOYY,0.275,0.6997898883737288,1.3649764330211736,0.4457868,0.0253077895795701,0.0273865554123399,2933850112,0.27582002,-0.1126925051259066,399.5,479.0,2149.0,2958.0,751.0,681.0,376.0,7793.5
BDL,0.799,0.3101657099402253,0.3568991263190777,0.0012201057,0.0303130735404576,0.0240899128632082,62487712,0.31577,-0.0252934437363225,1630.5,121.0,1788.0,630.0,1471.0,1905.0,292.0,7837.5
CRESY,0.359,0.0682739901341997,1.2653240611017431,0.006053829,0.0293711519394629,0.0293854251218959,651712000,0.10217,-0.1258136242865528,534.5,137.0,2357.0,1921.0,692.0,727.0,1485.0,7853.5
MXE,0.793,0.2894303454452207,0.6210934020585821,0.8695981,0.0118176555782748,0.0126410196256015,50558400,0.03264,-0.1467014927049962,1616.5,996.0,304.0,545.0,608.0,1396.0,2425.0,7890.5
PPT,0.289,0.0991846834114322,0.3578305777800861,0.97087944,0.0067045014273109,0.0072642501734718,352395744,0.06837,-0.1200337895764678,422.0,1261.0,61.0,1503.0,722.0,1901.0,2021.0,7891.0
NGL,0.353,0.3933333290947809,3.860465245223681,-4.7142854,0.0363896851788854,0.0351894742416506,801603328,0.11133,-0.0818020539057635,521.5,50.0,2812.0,2081.0,924.0,172.0,1356.0,7916.5
VPV,0.666,0.0024441318400849,0.2857876443028624,0.9018659,0.0062247587355347,0.006197833547703,186585328,0.052849997,-0.267082306457197,1251.5,1046.0,16.0,1099.0,307.0,2074.0,2216.0,8009.5
FMN,0.632,-0.0555006452902897,0.2450606233543122,0.9366299,0.0060609355488443,0.0065617497454663,86787584,0.0155,-0.2742566969569224,1158.0,1134.0,25.0,751.0,291.0,2182.0,2562.0,8103.0
GIGM,0.373,0.2043795404490604,0.3306451318291299,0.4625736,0.0237971054069083,0.0197838468730216,18236188,-0.01506,-0.0890164956878938,562.0,492.0,1198.0,303.0,874.0,1960.0,2779.0,8168.0
FINS,0.237,0.1075934136543468,0.3912118534141242,0.94914275,0.0059058468068509,0.0058869990570137,438429088,0.112440005,-0.0024217586029455,338.5,1174.0,9.0,1654.0,1844.0,1827.0,1340.0,8186.5
BKT,0.473,0.0090324460215611,0.2336482354817777,0.9473773,0.0058330575473167,0.0068785882137635,275236864,0.07217,-0.1235828681894636,777.5,1166.0,43.0,1341.0,702.0,2211.0,1956.5,8197.0
IGA,0.531,0.158196196219555,0.6169516076248709,0.9514693,0.010549781853984,0.0086583873053853,152493424,0.14681,0.0451371215222196,895.5,1184.0,110.0,1003.0,2644.0,1406.0,960.5,8203.0
LSBK,0.349,0.3672303821661844,0.4363503013046048,0.7791891,0.0191816595412629,0.0190954630006352,99853392,0.06424,-0.0546311083161637,513.0,840.0,1081.0,813.0,1150.0,1734.0,2075.0,8206.0
TEI,0.658,0.1905220592998113,0.9673964518925376,0.9815951,0.0100388742533285,0.012017724332669,294705312,0.18368,0.027584998930042,1224.0,1304.0,263.0,1386.0,2373.0,962.0,697.0,8209.0
XYF,0.116,1.0777518656884824,8.067453798347351,0.07450529,0.0461783797225179,0.0439185916095504,560921152,0.24314,0.0145291506439251,238.0,206.0,3269.0,1829.0,2143.0,62.0,464.0,8211.0
SEVN,0.506,-0.1920613901850026,0.5217844785440375,0.5753302,0.0191445934419407,0.0177250234053544,154910512,0.05786,-0.0529264208331909,842.5,599.0,878.0,1016.0,1168.0,1571.0,2149.0,8223.5
JHS,0.509,0.0823983630829208,0.329683934512047,0.9848862,0.0055342655123457,0.0059454252826736,138128496,0.14074,0.0133365922600453,849.0,1315.0,12.0,956.0,2119.0,1964.0,1012.0,8227.0
EMD,0.818,0.1482425827806743,0.8528711349288292,0.9700935,0.008222155936867,0.0093219970496627,603393984,0.13061,-0.0618664545818565,1698.0,1259.0,139.0,1876.0,1085.0,1072.0,1112.0,8241.0
VTN,0.715,0.0598868313403104,0.3943234786975296,0.9654759,0.0066524580346683,0.0068173132504519,164635712,0.02882,-0.2991954316093101,1384.5,1239.0,39.0,1051.0,254.0,1819.0,2465.0,8251.5
PCM,0.595,-0.0755783895156725,0.1809879009602457,1.1049724,0.0119389487386136,0.0136151367278999,80757600,0.093210004,-0.1529531151786863,1056.5,1582.0,383.0,718.0,586.0,2324.0,1631.0,8280.5
CEPU,-0.191,-0.0282880083080299,1.6800470954970863,0.0066123726,0.0353697780851434,0.0338908709881922,1477197952,0.094289996,-0.1288656444500901,108.0,138.0,2713.0,2496.0,683.0,541.0,1610.5,8289.5
FTF,0.485,0.0500854432292747,0.4712997768073708,0.92736614,0.0067654141649444,0.0067095469286173,255361984,0.070149995,-0.029862355157081,796.5,1110.0,33.0,1289.0,1415.0,1668.0,1993.0,8304.5
WIA,0.542,0.0839813995496348,0.2895543924827095,0.9291356,0.004557045150992,0.0055126805136816,197539520,0.05034,-0.0863480901398667,921.0,1114.0,4.0,1134.0,894.0,2062.0,2243.0,8372.0
VIOT,0.2,1.030987132046211,2.4230121146794006,0.1392286,0.0680251423879356,0.0559648560529448,201171872,0.103590004,-0.0455023990762707,296.0,247.0,3647.0,1141.0,1239.0,346.0,1459.0,8375.0
EVF,0.34,-0.045896239858115,0.4391972765567793,0.9121339,0.007632368157875,0.007614325973907,99028064,0.063990004,0.013823142501173,499.0,1072.0,76.0,810.0,2125.0,1724.0,2081.0,8387.0
MGF,0.347,0.0241246651378008,0.2166546399354907,0.97125715,0.0064699317585513,0.0070466945572784,100214840,0.049310002,-0.0359437641779149,509.5,1262.0,49.0,817.0,1335.0,2249.0,2255.0,8476.5
NIM,0.216,0.054003403422882,0.1795842988761784,0.95199347,0.0060981419816313,0.006562635036444,116500144,0.01511,-0.0501237721888061,317.0,1188.0,26.0,877.0,1191.0,2326.0,2566.0,8491.0
