Ticker,Beta,Momentum_1Y,Momentum_3Y,Value_PBR,Volatility_1Y,Volatility_3Y,Size_MarketCap,Profitability_ROE,Investment_AssetGrowth,Beta_Rank,Value_PBR_Rank,Volatility_3Y_Rank,Size_MarketCap_Rank,Investment_AssetGrowth_Rank,Momentum_3Y_Rank,Profitability_ROE_Rank,Composite_Rank_Score
FMY,0.256,0.0569854914967731,0.3604274858623066,0.9622021,0.0065748539519951,0.0087648600653712,51694924,0.104890004,-0.1006623386817211,366.0,1211.0,109.0,572.0,820.0,1988.0,1454.5,6520.5
GF,0.948,0.3617325144466357,0.6835956806819692,0.86562824,0.0132328079123041,0.0118488954799396,187928144,0.30961,-0.130756999455347,2134.0,953.0,231.0,1123.0,686.0,1350.0,299.0,6776.0
GLU,0.769,0.1742486538369534,0.6046416136401171,1.0343833,0.0121649864622721,0.0125914493182449,107302608,0.19327,-0.0716362313502027,1529.5,1422.0,282.0,845.0,1026.0,1485.0,649.0,7238.5
GGN,0.355,0.2912773563481303,1.184563729373263,1.1337467,0.011282875916778,0.0102415616439133,799019904,0.18195999,-0.0348557209598432,537.5,1614.0,155.0,2088.0,1367.0,813.0,707.0,7281.5
BCH,0.141,0.3530356514806765,1.3644541383546795,0.5555858,0.0144923394349839,0.0145931483992856,15485919232,0.22372,-0.0657327309838477,261.5,570.0,464.0,3866.0,1075.0,699.0,526.0,7461.5
USAC,0.396,0.1211794909949475,0.9295866392239616,-24.010101,0.020069386076838,0.0178139473425726,2916197376,3.1474,0.0032304622984843,614.5,22.0,870.0,2960.0,1951.0,1030.0,18.0,7465.5
IRS,0.41,0.2106435754725824,3.743315059935271,0.0064206016,0.0298546459241626,0.0311830970240698,1009361984,0.11963,-0.1520828156222235,633.0,141.0,2497.0,2258.0,600.0,171.0,1237.0,7537.0
EIM,0.515,-0.0172841518086028,0.187219723747257,0.8560783,0.0067955183950322,0.0068123844635327,507561280,0.14303,-0.1342801595465133,849.5,941.0,34.0,1769.0,667.0,2383.0,990.5,7634.0
BANX,0.256,0.1559759015732791,0.8086649992589094,0.9850598,0.0118225900788963,0.0135680115933162,156051008,0.12538,0.0221798509149971,366.0,1295.0,359.0,1021.0,2291.0,1175.0,1167.0,7674.0
TSI,0.301,0.0710503038611694,0.3702901424028058,0.97940147,0.0053619465336702,0.0064346925294089,240838608,0.09187,-0.061879598383948,444.0,1272.0,18.0,1259.0,1098.0,1962.0,1658.0,7711.0
